1397	533092
68	530230
98902	531342
187	551227
277	572875
10545	595156
9270	595426
35119	611780
5268	604924
71725	539427
67227	599726
58974	532165
3708	597236
50081	586376
140	529960
21672	533513
35332	598074
42087	643282
309	531901
2026	540084
128163	635360
8254	540027
997	606815
67029	594457
132478	645705
193103	636985
47599	604509
7089	558920
7089	581038
117	567840
1432	542442
22477	624561
152139	653607
66834	604788
29037	592907
78712	576612
19606	596950
39990	557767
52813	608146
23936	575530
53000	634415
19150	622359
34259	650076
39801	619077
50447	596411
54012	626979
56532	608442
73642	554147
10581	608041
69722	629097
19700	564387
25395	567666
78	612653
122160	640809
278568	614256
31086	658621
13927	616489
139131	530939
8875	536104
39950	527532
42497	538143
53704	607996
60114	570410
45393	562285
28947	548409
41342	569042
193214	527075
35541	577001
29023	525894
31836	615442
2315	618642
31640	549461
70862	553396
186051	557561
276	643642
74238	571410
8063	530406
20786	554216
45969	561837
63238	558914
5262	621458
295	551009
76024	530462
38977	613757
11281	590196
78119	588326
6568	648810
166145	556615
98679	578540
28119	577933
1174	529836
80849	585750
251170	607496
71188	558920
71188	581038
84191	583501
17423	650692
344	623927
132526	628119
9272	542942
50623	532422
338556	571284
48058	614664
80262	662573
70296	609466
73097	640637
43507	567790
6365	643811
9373	569548
32978	541422
40989	538145
43216	640618
66374	608410
60528	619214
76457	619677
48722	538576
24488	591221
38625	533871
41101	558881
10905	537450
41626	602104
27856	567166
21965	626060
27638	571820
245	580636
8764	562891
2338	550031
27246	578138
55830	531640
55919	528178
215494	539752
38604	612043
41290	591224
60180	577692
26063	627072
49695	551693
11153	537674
355	619425
8936	648006
366	584582
4768	644663
42869	545678
55390	539948
3528	619673
76467	535210
6	606444
64107	537567
27130	580279
62575	609360
37126	578778
56504	600519
15173	578720
262	556303
49078	619762
2968	636064
84096	529828
97028	618589
142105	636733
54326	621257
4311	632727
169	570702
35708	552343
28243	568731
31089	547658
33071	627786
57576	550564
37226	543922
45583	593555
34862	583093
29174	638348
8762	547102
66190	558221
24539	575811
13078	606929
19127	630907
8956	610485
36162	592813
47376	619540
8730	586077
73682	561964
49806	558518
163468	624186
5149	562989
39089	533238
20065	527818
57241	543220
61938	588384
49214	528378
24465	570194
80812	556641
24979	588255
32359	543572
30940	620381
